******************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT *        NJets *
******************************************************************************************************
*     1722 *       191226 *          411 *    576482971 *  549.1640625 * 296.46124267 *            3 *
*     3116 *       191277 *          764 *    661503678 * 1075.6094970 * 429.97399902 *            3 *
*     3214 *       191718 *          142 *    174057910 * 820.83422851 * 284.85321044 *            6 *
*     3342 *       191721 *          100 *     68703845 * 1593.5883789 * 325.93069458 *            4 *
*     3515 *       191830 *          234 *    344325478 * 830.19256591 * 204.49690246 *            4 *
*     3775 *       191834 *          125 *    152370649 * 1607.4237060 * 301.68872070 *            3 *
*     4457 *       193557 *           39 *     37078210 * 2176.8515625 * 278.73248291 *            4 *
*     4570 *       193575 *          599 *    454132387 * 1073.0048828 * 346.89733886 *            3 *
*     4810 *       193621 *         1435 *   1112080480 * 1133.1524658 * 235.86801147 *            3 *
*    10350 *       194912 *           60 *     32351413 * 875.22253418 * 206.78544616 *            3 *
*    11246 *       194912 *         1108 *   1572959027 * 1056.9425048 * 412.59048461 *            5 *
*    11690 *       194912 *         1612 *   2022830437 * 648.09960937 * 213.98144531 *            3 *
*    12157 *       195099 *          200 *    298608795 * 729.17401123 * 442.31701660 *            4 *
*    14459 *       195303 *          148 *     97738650 * 922.25024414 * 319.89822387 *            4 *
*    14766 *       195647 *           28 *     45731318 * 1360.9862060 * 205.70944213 *            5 *
*    16374 *       195397 *          918 *   1141597052 * 1232.1719970 * 623.34271240 *            4 *
*    16824 *       195398 *         1198 *    963521783 * 1062.8000488 * 248.48397827 *            4 *
*    18211 *       195655 *           73 *     88862742 * 996.86456298 * 208.22833252 *            4 *
*    18936 *       195774 *          483 *    792421278 * 585.38928222 * 202.77853393 *            4 *
*    19054 *       195774 *          777 *   1148101519 * 791.30163574 * 243.31158447 *            5 *
*    19679 *       195915 *          683 *    982146562 * 794.25231933 * 223.16232299 *            4 *
*    20031 *       196027 *            8 *     11802630 * 852.59429931 * 218.90139770 *            3 *
*    20855 *       195950 *          931 *    851391925 * 1271.8847656 * 274.24185180 *            3 *
*    21715 *       196199 *          298 *    346301025 * 860.15368652 * 395.24707031 *            3 *
*    22411 *       196250 *          412 *    651486607 * 1749.5086669 * 243.44317627 *            3 *
*    24466 *       194076 *          445 *    451840587 * 703.77349853 * 220.96844482 *            4 *
*    26168 *       194150 *          221 *    272643956 * 2028.0084228 * 460.00933837 *            6 *
*    26517 *       194643 *          170 *    219649733 * 952.72009277 * 203.11068725 *            3 *
*    26637 *       196048 *           13 *     21131562 * 814.49768066 * 256.26074218 *            4 *
*    27225 *       194199 *          184 *    141931934 * 741.85540771 * 240.92239379 *            4 *
*    27728 *       194210 *          446 *    412322113 * 762.10552978 * 207.23681640 *            3 *
*    27863 *       194699 *           49 *     61044117 * 1120.4738769 * 232.02168273 *            4 *
*    29719 *       194314 *          254 *    358770449 * 1053.0788574 * 204.51203918 *            4 *
*    30438 *       194424 *          255 *    360404256 * 1123.6154785 * 497.27651977 *            3 *
*    30741 *       195112 *            9 *     12759601 * 927.14709472 * 290.92019653 *            4 *
*    32308 *       194455 *           88 *     99284639 * 2465.6325683 * 515.50885009 *            7 *
*    32705 *       194464 *           32 *     48211568 * 1094.2618408 * 229.53411865 *            4 *
*    34327 *       198269 *          146 *    233111939 * 804.50567627 * 222.08926391 *            3 *
*    35082 *       198487 *         1415 *   1430570389 * 713.35314941 * 605.32012939 *            3 *
*    36182 *       199812 *          310 *    366568326 * 950.73760986 * 236.79991149 *            3 *
*    39021 *       199867 *          300 *    322522332 * 639.10485839 * 268.12826538 *            3 *
*    40561 *       199877 *          821 *    779796773 * 981.65820312 *    323.46875 *            3 *
*    41575 *       200041 *           96 *     71883816 * 1679.4963378 * 808.09057617 *            3 *
*    43639 *       200075 *          185 *    189911036 * 662.30438232 * 335.61141967 *            4 *
*    48504 *       200244 *          205 *    308196970 * 1526.7556152 * 466.27386474 *            5 *
*    49727 *       200369 *          468 *    502759577 * 655.89642334 * 253.98373413 *            4 *
*    49848 *       200381 *          159 *    271339468 * 616.57177734 * 206.39883422 *            7 *
*    51451 *       200519 *           26 *     41362302 * 912.47088623 * 256.31558227 *            4 *
*    58360 *       201602 *          107 *     71278904 * 578.48950195 * 273.10983276 *            4 *
*    58510 *       201602 *          230 *    292846463 * 519.72290039 * 248.83450317 *            3 *
*    59920 *       201658 *           89 *    164315309 * 920.19525146 * 202.12355041 *            3 *
*    61414 *       201705 *          167 *    207519858 * 1575.8707275 * 251.44824218 *            3 *
*    61633 *       201707 *          301 *    407374927 * 1138.5273437 * 285.78680419 *            4 *
*    62043 *       201727 *          116 *    105978798 * 1545.4461669 * 391.03790283 *            4 *
*    62401 *       201794 *           82 *     61510253 * 1408.9129638 * 305.77746582 *            4 *
*    63135 *       202014 *          136 *    164569159 * 696.34655761 * 216.02227783 *            4 *
*    63524 *       202016 *          400 *    449026019 * 941.08282470 * 200.57485961 *            4 *
