******************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT *        NJets *
******************************************************************************************************
*      471 *       191090 *           54 *     38851782 * 563.64691162 * 222.03344726 *            3 *
*      773 *       190733 *          329 *    362855259 * 522.50006103 * 240.74446106 *            3 *
*     1348 *       191062 *          422 *    447341083 * 679.35992431 * 206.46545410 *            3 *
*     1954 *       191226 *          980 *   1290455115 * 1074.1715087 * 302.13494873 *            4 *
*     2336 *       193575 *          254 *    194427537 * 542.01269531 * 284.73846435 *            5 *
*     2817 *       191277 *           70 *     69856560 *    578.15625 * 234.85168457 *            4 *
*     3609 *       193541 *          604 *    381410106 * 531.56903076 * 271.78268432 *            3 *
*     3749 *       190659 *           66 *     33197541 * 517.48364257 * 284.08041381 *            3 *
*     5438 *       194480 *          932 *    831960995 * 850.14978027 * 271.73193359 *            4 *
*     5525 *       194480 *          783 *    707308285 * 851.58007812 * 228.65322876 *            4 *
*     6917 *       195930 *          132 *     99905060 * 810.04589843 * 256.68142700 *            3 *
*     7014 *       195776 *          212 *    177806499 * 612.67199707 * 237.74676513 *            3 *
*     8311 *       194712 *          602 *    447457378 * 668.44470214 * 365.42877197 *            4 *
*     8436 *       194712 *          703 *    544967891 * 551.03179931 * 215.88117981 *            3 *
*    10008 *       195655 *          141 *    168869061 * 631.40795898 * 383.51889038 *            3 *
*    11171 *       194912 *          440 *    733288273 * 558.79498291 * 305.77420043 *            4 *
*    11554 *       194912 *         1354 *   1804981638 * 854.78094482 * 315.68255615 *            3 *
*    12937 *       195113 *          352 *    433095984 * 926.93817138 * 252.69285583 *            4 *
*    13692 *       195163 *          296 *    430852540 * 563.62213134 * 402.61398315 *            3 *
*    13762 *       195165 *          183 *    242496346 * 817.79003906 * 389.06973266 *            4 *
*    14157 *       196438 *          606 *    499765920 * 642.87817382 * 204.08334350 *            4 *
*    14585 *       194050 *          644 *    608481821 * 656.26000976 * 257.64941406 *            4 *
*    14712 *       195303 *          276 *    324495823 * 569.88671875 * 280.52352905 *            3 *
*    16113 *       195775 *          168 *    154336802 * 707.39978027 * 213.71260070 *            5 *
*    16368 *       195397 *          877 *   1103070533 * 602.08996582 * 320.23568725 *            5 *
*    16903 *       195530 *           71 *    114099038 * 1235.7426757 * 218.59809875 *            3 *
*    17717 *       195552 *          986 *   1227818722 * 528.04022216 * 307.30627441 *            3 *
*    17891 *       195552 *          807 *   1062257137 * 524.82727050 * 204.86137390 *            5 *
*    17943 *       195947 *           55 *    124514517 * 947.88177490 * 220.22048950 *            3 *
*    18012 *       195552 *         1475 *   1649382664 * 532.92016601 * 279.12173461 *            4 *
*    18352 *       195658 *           80 *     68087591 * 738.88891601 * 301.63467407 *            3 *
*    18400 *       194050 *         1863 *   1622867728 * 620.32861328 *    236.84375 *            6 *
*    18903 *       195774 *          479 *    787247859 * 609.89947509 * 206.29170227 *            3 *
*    19502 *       194897 *           91 *    163995050 * 526.27697753 * 640.03509521 *            3 *
*    19632 *       195915 *          582 *    867234071 * 849.94494628 * 294.07836914 *            4 *
*    19896 *       195930 *          435 *    385200031 * 1446.0281982 *   248.078125 *            6 *
*    20128 *       195948 *           63 *    128198415 * 671.18402099 * 201.95950317 *            4 *
*    20560 *       194533 *          283 *    398319354 * 1740.7592773 * 234.44567871 *            3 *
*    20954 *       195950 *         1570 *   1406095547 * 500.34231567 * 340.52041626 *            3 *
*    22833 *       196364 *          692 *    642838256 * 1194.3585205 * 205.33468627 *            5 *
*    22960 *       196364 *          723 *    667054684 * 613.53637695 * 246.92793273 *            5 *
