*********************************************************************************************************************
*    Row   *       RunNum * LumiBlockNum *       EvtNum *           HT *          MHT * JetsHOEnergy * CaloMHT/PFMH *
*********************************************************************************************************************
*     1722 *       191226 *          411 *    576482971 *  549.1640625 * 296.46124267 * 0.5370229208 * 0.5616038986 *
*     3116 *       191277 *          764 *    661503678 * 1075.6094970 * 429.97399902 * 0.8708425949 * 0.4797974191 *
*     3214 *       191718 *          142 *    174057910 * 820.83422851 * 284.85321044 * 0.4333627260 * 0.6574105936 *
*     3342 *       191721 *          100 *     68703845 * 1593.5883789 * 325.93069458 * 0.7366834578 * 0.4684508951 *
*     4457 *       193557 *           39 *     37078210 * 2176.8515625 * 278.73248291 * 0.5474565686 * 0.7885358043 *
*     4570 *       193575 *          599 *    454132387 * 1073.0048828 * 346.89733886 * 0.7611744629 * 0.3315850911 *
*     4810 *       193621 *         1435 *   1112080480 * 1133.1524658 * 235.86801147 * 0.6521944289 * 0.8433200201 *
*     9141 *       194778 *          190 *    248209565 * 557.09655761 * 208.32540893 * 0.3224665800 * 0.6654089772 *
*    10350 *       194912 *           60 *     32351413 * 875.22253418 * 206.78544616 * 0.6167537636 * 0.3969699874 *
*    11246 *       194912 *         1108 *   1572959027 * 1056.9425048 * 412.59048461 * 0.8346454177 * 0.2809821583 *
*    11690 *       194912 *         1612 *   2022830437 * 648.09960937 * 213.98144531 * 0.4757779077 * 0.6330528467 *
*    12157 *       195099 *          200 *    298608795 * 729.17401123 * 442.31701660 * 0.4434970730 * 0.5788534083 *
*    14459 *       195303 *          148 *     97738650 * 922.25024414 * 319.89822387 * 0.5097250790 * 0.2931011908 *
*    14766 *       195647 *           28 *     45731318 * 1360.9862060 * 205.70944213 * 0.6947632068 * 0.5968649412 *
*    16094 *       195397 *          323 *    487958833 * 501.48385620 * 215.39053344 * 0.3194327557 * 0.7275742262 *
*    16374 *       195397 *          918 *   1141597052 * 1232.1719970 * 623.34271240 * 0.8543969883 * 0.2571768430 *
*    16824 *       195398 *         1198 *    963521783 * 1062.8000488 * 248.48397827 * 0.6082977994 * 0.6037298569 *
*    18211 *       195655 *           73 *     88862742 * 996.86456298 * 208.22833252 * 0.5343853727 * 0.8189158617 *
*    19679 *       195915 *          683 *    982146562 * 794.25231933 * 223.16232299 * 0.7374708893 * 0.5880761968 *
*    20031 *       196027 *            8 *     11802630 * 852.59429931 * 218.90139770 * 0.6630705594 * 0.6885878788 *
*    20855 *       195950 *          931 *    851391925 * 1271.8847656 * 274.24185180 * 0.5662861072 * 0.4559924283 *
*    21715 *       196199 *          298 *    346301025 * 860.15368652 * 395.24707031 * 0.8994227814 * 0.4337451711 *
